Profile,PWV(mm),Cos,Airmass,Rad4
1,5.4,-0.95,1.05263157894737,0.6118683959
1,5.4,-0.925,1.08108108108108,0.6258136709
1,5.4,-0.9,1.11111111111111,0.6404402084
1,5.4,-0.875,1.14285714285714,0.6558002788
1,5.4,-0.85,1.17647058823529,0.6719518569
1,5.4,-0.825,1.21212121212121,0.6889592623
1,5.4,-0.8,1.25,0.7068938576
1,5.4,-0.775,1.29032258064516,0.7258356782
1,5.4,-0.75,1.33333333333333,0.7458740729
1,5.4,-0.725,1.37931034482759,0.7671096828
1,5.4,-0.7,1.42857142857143,0.789656071
1,5.4,-0.675,1.48148148148148,0.8136417018
1,5.4,-0.65,1.53846153846154,0.8392131422
1,5.4,-0.625,1.6,0.8665375644
1,5.4,-0.6,1.66666666666667,0.8958072285
1,5.4,-0.575,1.73913043478261,0.9272443713
1,5.4,-0.55,1.81818181818182,0.9611068526
1,5.4,-0.525,1.9047619047619,0.9976965375
1,5.4,-0.5,2,1.037368551
1,5.5,-1,1,0.5979760317
1,5.5,-0.975,1.02564102564103,0.6109524402
1,5.5,-0.95,1.05263157894737,0.6245312397
1,5.5,-0.925,1.08108108108108,0.6387562025
1,5.5,-0.9,1.11111111111111,0.6536756991
1,5.5,-0.875,1.14285714285714,0.6693430478
1,5.5,-0.85,1.17647058823529,0.6858171546
1,5.5,-0.825,1.21212121212121,0.7031636778
1,5.5,-0.8,1.25,0.7214552606
1,5.5,-0.775,1.29032258064516,0.740773452
1,5.5,-0.75,1.33333333333333,0.7612092886
1,5.5,-0.725,1.37931034482759,0.7828652742
1,5.5,-0.7,1.42857142857143,0.8058571257
1,5.5,-0.675,1.48148148148148,0.8303156355
1,5.5,-0.65,1.53846153846154,0.8563901065
1,5.5,-0.625,1.6,0.8842507959
1,5.5,-0.6,1.66666666666667,0.9140935726
1,5.5,-0.575,1.73913043478261,0.9461446316
1,5.5,-0.55,1.81818181818182,0.9806666058
1,5.5,-0.525,1.9047619047619,1.017966773
1,5.5,-0.5,2,1.058406662
1,5.6,-1,1,0.6102347397
1,5.6,-0.975,1.02564102564103,0.623469241
1,5.6,-0.95,1.05263157894737,0.6373177166
1,5.6,-0.925,1.08108108108108,0.6518248119
1,5.6,-0.9,1.11111111111111,0.6670398288
1,5.6,-0.875,1.14285714285714,0.6830169586
1,5.6,-0.85,1.17647058823529,0.6998163881
1,5.6,-0.825,1.21212121212121,0.7175048231
1,5.6,-0.8,1.25,0.7361563621
1,5.6,-0.775,1.29032258064516,0.7558540092
1,5.6,-0.75,1.33333333333333,0.7766905474
1,5.6,-0.725,1.37931034482759,0.7987702847
1,5.6,-0.7,1.42857142857143,0.8222110919
1,5.6,-0.675,1.48148148148148,0.8471462061
1,5.6,-0.65,1.53846153846154,0.8737276075
1,5.6,-0.625,1.6,0.9021286387
1,5.6,-0.6,1.66666666666667,0.932548719
1,5.6,-0.575,1.73913043478261,0.9652181761
1,5.6,-0.55,1.81818181818182,1.000404358
1,5.6,-0.525,1.9047619047619,1.038420014
1,5.6,-0.5,2,1.079633133
1,5.7,-1,1,0.6226119003
1,5.7,-0.975,1.02564102564103,0.636106648
1,5.7,-0.95,1.05263157894737,0.6502270699
1,5.7,-0.925,1.08108108108108,0.6650186842
1,5.7,-0.9,1.11111111111111,0.6805316661
1,5.7,-0.875,1.14285714285714,0.6968211965
1,5.7,-0.85,1.17647058823529,0.7139485679
1,5.7,-0.825,1.21212121212121,0.7319817087
1,5.7,-0.8,1.25,0.7509961142
1,5.7,-0.775,1.29032258064516,0.771076302
1,5.7,-0.75,1.33333333333333,0.792316685
1,5.7,-0.725,1.37931034482759,0.814823492
1,5.7,-0.7,1.42857142857143,0.838716689
1,5.7,-0.675,1.48148148148148,0.8641320746
1,5.7,-0.65,1.53846153846154,0.8912241901
1,5.7,-0.625,1.6,0.9201695211
1,5.7,-0.6,1.66666666666667,0.9511711542
1,5.7,-0.575,1.73913043478261,0.9844633751
1,5.7,-0.55,1.81818181818182,1.020318363
1,5.7,-0.525,1.9047619047619,1.059054281
1,5.7,-0.5,2,1.101045636
1,5.8,-1,1,0.6351076299
1,5.8,-0.975,1.02564102564103,0.648864836
1,5.8,-0.95,1.05263157894737,0.6632595323
1,5.8,-0.925,1.08108108108108,0.6783380522
1,5.8,-0.9,1.11111111111111,0.6941514439
1,5.8,-0.875,1.14285714285714,0.7107559359
1,5.8,-0.85,1.17647058823529,0.7282138686
1,5.8,-0.825,1.21212121212121,0.7465945091
1,5.8,-0.8,1.25,0.7659746916
1,5.8,-0.775,1.29032258064516,0.7864403888
1,5.8,-0.75,1.33333333333333,0.8080877014
1,5.8,-0.725,1.37931034482759,0.8310248377
1,5.8,-0.7,1.42857142857143,0.8553739754
1,5.8,-0.675,1.48148148148148,0.8812730666
1,5.8,-0.65,1.53846153846154,0.9088796796
1,5.8,-0.625,1.6,0.9383732686
1,5.8,-0.6,1.66666666666667,0.9699605289
1,5.8,-0.575,1.73913043478261,1.003879821
1,5.8,-0.55,1.81818181818182,1.040408039
1,5.8,-0.525,1.9047619047619,1.079868991
1,5.8,-0.5,2,1.122643473
1,5.9,-1,1,0.6477205898
1,5.9,-0.975,1.02564102564103,0.6617424078
1,5.9,-0.95,1.05263157894737,0.6764135906
1,5.9,-0.925,1.08108108108108,0.6917812862
1,5.9,-0.9,1.11111111111111,0.7078974741
1,5.9,-0.875,1.14285714285714,0.7248194306
1,5.9,-0.85,1.17647058823529,0.7426106022
1,5.9,-0.825,1.21212121212121,0.76134142
1,5.9,-0.8,1.25,0.7810901152
1,5.9,-0.775,1.29032258064516,0.8019442321
1,5.9,-0.75,1.33333333333333,0.8240016177
1,5.9,-0.725,1.37931034482759,0.8473722846
1,5.9,-0.7,1.42857142857143,0.8721805643
1,5.9,-0.675,1.48148148148148,0.8985669701
1,5.9,-0.65,1.53846153846154,0.9266916313
1,5.9,-0.625,1.6,0.9567373199
1,5.9,-0.6,1.66666666666667,0.9889141656
1,5.9,-0.575,1.73913043478261,1.02346472
1,5.9,-0.55,1.81818181818182,1.060670475
1,5.9,-0.525,1.9047619047619,1.100861002
1,5.9,-0.5,2,1.14442315
1,6,-1,1,0.660453341
1,6,-0.975,1.02564102564103,0.6747419829
1,6,-0.95,1.05263157894737,0.6896919222
1,6,-0.925,1.08108108108108,0.7053511799
1,6,-0.9,1.11111111111111,0.7217726088
1,6,-0.875,1.14285714285714,0.7390145329
1,6,-0.85,1.17647058823529,0.7571415044
1,6,-0.825,1.21212121212121,0.7762252935
1,6,-0.8,1.25,0.7963454118
1,6,-0.775,1.29032258064516,0.817590917
1,6,-0.75,1.33333333333333,0.8400614024
1,6,-0.725,1.37931034482759,0.8638688596
1,6,-0.7,1.42857142857143,0.8891396574
1,6,-0.675,1.48148148148148,0.916016812
1,6,-0.65,1.53846153846154,0.9446632466
1,6,-0.625,1.6,0.9752648184
1,6,-0.6,1.66666666666667,1.008035149
1,6,-0.575,1.73913043478261,1.043221098
1,6,-0.55,1.81818181818182,1.081108931
1,6,-0.525,1.9047619047619,1.12203334
1,6,-0.5,2,1.166388043
1,6.1,-1,1,0.6732994225
1,6.1,-0.975,1.02564102564103,0.6878568674
1,6.1,-0.95,1.05263157894737,0.7030876586
1,6.1,-0.925,1.08108108108108,0.719040574
1,6.1,-0.9,1.11111111111111,0.7357695722
1,6.1,-0.875,1.14285714285714,0.7533337921
1,6.1,-0.85,1.17647058823529,0.7717990666
1,6.1,-0.825,1.21212121212121,0.7912382716
1,6.1,-0.8,1.25,0.8117324323
1,6.1,-0.775,1.29032258064516,0.8333720616
1,6.1,-0.75,1.33333333333333,0.856258499
1,6.1,-0.725,1.37931034482759,0.8805056568
1,6.1,-0.7,1.42857142857143,0.9062421159
1,6.1,-0.675,1.48148148148148,0.9336132789
1,6.1,-0.65,1.53846153846154,0.9627848049
1,6.1,-0.625,1.6,0.9939457523
1,6.1,-0.6,1.66666666666667,1.027313294
1,6.1,-0.575,1.73913043478261,1.063138363
1,6.1,-0.55,1.81818181818182,1.101711881
1,6.1,-0.525,1.9047619047619,1.143374364
1,6.1,-0.5,2,1.188525697
1,6.2,-1,1,0.6862642476
1,6.2,-0.975,1.02564102564103,0.7010927075
1,6.2,-0.95,1.05263157894737,0.7166065625
1,6.2,-0.925,1.08108108108108,0.7328555221
1,6.2,-0.9,1.11111111111111,0.7498943014
1,6.2,-0.875,1.14285714285714,0.7677833783
1,6.2,-0.85,1.17647058823529,0.7865894586
1,6.2,-0.825,1.21212121212121,0.8063867572
1,6.2,-0.8,1.25,0.8272576961
1,6.2,-0.775,1.29032258064516,0.8492943598
1,6.2,-0.75,1.33333333333333,0.8725997177
1,6.2,-0.725,1.37931034482759,0.8972897194
1,6.2,-0.7,1.42857142857143,0.9234950412
1,6.2,-0.675,1.48148148148148,0.9513635305
1,6.2,-0.65,1.53846153846154,0.9810636984
1,6.2,-0.625,1.6,1.012787572
1,6.2,-0.6,1.66666666666667,1.04675605
1,6.2,-0.575,1.73913043478261,1.083224197
1,6.2,-0.55,1.81818181818182,1.122487709
1,6.2,-0.525,1.9047619047619,1.164892339
1,6.2,-0.5,2,1.210844493
1,6.3,-1,1,0.6993427523
1,6.3,-0.975,1.02564102564103,0.7144441479
1,6.3,-0.95,1.05263157894737,0.730243104
1,6.3,-0.925,1.08108108108108,0.7467902033
1,6.3,-0.9,1.11111111111111,0.7641411503
1,6.3,-0.875,1.14285714285714,0.782357296
1,6.3,-0.85,1.17647058823529,0.8015065687
1,6.3,-0.825,1.21212121212121,0.8216644637
1,6.3,-0.8,1.25,0.842914742
1,6.3,-0.775,1.29032258064516,0.8653510595
1,6.3,-0.75,1.33333333333333,0.8890781901
1,6.3,-0.725,1.37931034482759,0.9142138297
1,6.3,-0.7,1.42857142857143,0.940891041
1,6.3,-0.675,1.48148148148148,0.9692599415
1,6.3,-0.65,1.53846153846154,0.9994918946
1,6.3,-0.625,1.6,1.031782129
1,6.3,-0.6,1.66666666666667,1.066355035
1,6.3,-0.575,1.73913043478261,1.103469869
1,6.3,-0.55,1.81818181818182,1.143426867
1,6.3,-0.525,1.9047619047619,1.186577603
1,6.3,-0.5,2,1.233334537
1,6.4,-1,1,0.7125349948
1,6.4,-0.975,1.02564102564103,0.7279113634
1,6.4,-0.95,1.05263157894737,0.7439975161
1,6.4,-0.925,1.08108108108108,0.7608449087
1,6.4,-0.9,1.11111111111111,0.778510177
1,6.4,-0.875,1.14285714285714,0.7970556617
1,6.4,-0.85,1.17647058823529,0.8165505133
1,6.4,-0.825,1.21212121212121,0.8370714495
1,6.4,-0.8,1.25,0.8587036282
1,6.4,-0.775,1.29032258064516,0.8815422771
1,6.4,-0.75,1.33333333333333,0.9056937997
1,6.4,-0.725,1.37931034482759,0.9312780458
1,6.4,-0.7,1.42857142857143,0.9584299987
1,6.4,-0.675,1.48148148148148,0.9873023955
1,6.4,-0.65,1.53846153846154,1.018069335
1,6.4,-0.625,1.6,1.050929073
1,6.4,-0.6,1.66666666666667,1.0861099
1,6.4,-0.575,1.73913043478261,1.123874797
1,6.4,-0.55,1.81818181818182,1.164529007
1,6.4,-0.525,1.9047619047619,1.208429225
1,6.4,-0.5,2,1.255994663
1,6.5,-1,1,0.7258432452
1,6.5,-0.975,1.02564102564103,0.7414965658
1,6.5,-0.95,1.05263157894737,0.7578720106
1,6.5,-0.925,1.08108108108108,0.7750217919
1,6.5,-0.9,1.11111111111111,0.7930035936
1,6.5,-0.875,1.14285714285714,0.8118808037
1,6.5,-0.85,1.17647058823529,0.8317236206
1,6.5,-0.825,1.21212121212121,0.852610101
1,6.5,-0.8,1.25,0.8746266831
1,6.5,-0.775,1.29032258064516,0.8978703409
1,6.5,-0.75,1.33333333333333,0.9224490495
1,6.5,-0.725,1.37931034482759,0.948484696
1,6.5,-0.7,1.42857142857143,0.9761143592
